,id,city,latitude,longitude,name,state,county,is_village
163,403327,Chicago,41.870195,-87.712633,Homan Square,IL,Cook County,0
164,403328,Chicago,41.866719,-87.676121,Illinois Medical District,IL,Cook County,0
165,403329,Chicago,41.84846,-87.684306,Heart of Italy,IL,Cook County,0
166,403330,Chicago,41.848941,-87.675813,Heart of Chicago,IL,Cook County,0
167,403331,Chicago,41.856319,-87.642615,East Pilsen,IL,Cook County,0
168,403332,Chicago,41.785527,-87.749876,Chicago Midway Airport,IL,Cook County,0
169,403333,Chicago,41.802304,-87.747891,Vittum Park,IL,Cook County,0
170,403334,Chicago,41.813214,-87.74813,LeClaire Courts,IL,Cook County,0
171,403335,Chicago,41.813959,-87.74084,Sleepy Hollow,IL,Cook County,0
172,403336,Chicago,41.776432,-87.751809,Chrysler Village,IL,Cook County,0
173,403337,Chicago,41.77649,-87.744547,Clearing (E),IL,Cook County,0
174,403338,Chicago,41.760522,-87.732056,Ford City,IL,Cook County,0
175,403339,Chicago,41.767245,-87.688146,Lithuanian Plaza,IL,Cook County,0
176,403340,Chicago,41.814352,-87.640985,Canaryville,IL,Cook County,0
177,403342,Chicago,41.886575,-87.61705,Near East Side,IL,Cook County,0
178,403343,Chicago,41.873965,-87.629153,Printers Row,IL,Cook County,0
179,403344,Chicago,41.866472,-87.628962,Dearborn Park,IL,Cook County,0
180,403345,Chicago,41.842015,-87.620545,South Commons,IL,Cook County,0
181,403346,Chicago,41.834712,-87.62037,The Gap,IL,Cook County,0
182,403347,Chicago,41.827314,-87.628635,Stateway Gardens,IL,Cook County,0
183,403348,Chicago,41.83295,-87.607245,Groveland Park,IL,Cook County,0
184,403349,Chicago,41.827547,-87.612129,Ida B. Wells - Darrow Homes,IL,Cook County,0
185,403350,Chicago,41.809081,-87.628807,The Robert Taylor Homes,IL,Cook County,0
186,403351,Chicago,41.813223,-87.595609,North Kenwood,IL,Cook County,0
187,403352,Chicago,41.794051,-87.582101,East Hyde Park,IL,Cook County,0
188,403353,Chicago,41.779287,-87.610654,West Woodlawn,IL,Cook County,0
189,403354,Chicago,41.769751,-87.578834,Jackson Park Highlands,IL,Cook County,0
190,403355,Chicago,41.777471,-87.617148,Parkway Gardens,IL,Cook County,0
191,403356,Chicago,41.769037,-87.618357,Park Manor,IL,Cook County,0
192,403357,Chicago,41.743965,-87.631154,West Chatham,IL,Cook County,0
193,403358,Chicago,41.740426,-87.593002,Marynook,IL,Cook County,0
194,403359,Chicago,41.744792,-87.540484,The Bush,IL,Cook County,0
195,403360,Chicago,41.743957,-87.601143,East Chatham,IL,Cook County,0
196,403361,Chicago,41.72906,-87.619439,West Chesterfield,IL,Cook County,0
197,403362,Chicago,41.725813,-87.629087,Princeton Park,IL,Cook County,0
198,403363,Chicago,41.726675,-87.575472,Pill Hill,IL,Cook County,0
199,403364,Chicago,41.752457,-87.636957,Winneconna Parkway,IL,Cook County,0
200,403365,Chicago,41.738929,-87.716773,Parkview,IL,Cook County,0
201,403366,Chicago,41.736956,-87.707007,Marycrest,IL,Cook County,0
202,403367,Chicago,41.743922,-87.731492,Scottsdale,IL,Cook County,0
203,403368,Chicago,41.747295,-87.680385,Beverly View,IL,Cook County,0
204,403369,Chicago,41.686338,-87.715212,Mount Greenwood Heights,IL,Cook County,0
205,403370,Chicago,41.709658,-87.716,Tally's Corner,IL,Cook County,0
206,403371,Chicago,41.688117,-87.688329,Kennedy Park,IL,Cook County,0
207,403372,Chicago,41.680882,-87.683525,Beverly Woods,IL,Cook County,0
208,403373,Chicago,41.695364,-87.688563,West Morgan Park,IL,Cook County,0
209,403374,Chicago,41.70635,-87.688849,West Beverly,IL,Cook County,0
210,403375,Chicago,41.706618,-87.662983,East Beverly,IL,Cook County,0
211,403376,Chicago,41.714245,-87.643133,Longwood Manor,IL,Cook County,0
212,403377,Chicago,41.707434,-87.633177,Fernwood,IL,Cook County,0
213,403378,Chicago,41.72686,-87.650466,Brainerd,IL,Cook County,0
214,403379,Chicago,41.71097,-87.611983,Rosemoor,IL,Cook County,0
215,403380,Chicago,41.654658,-87.60853,Golden Gate,IL,Cook County,0
216,403381,Chicago,41.654662,-87.615961,Eden Green,IL,Cook County,0
217,403382,Chicago,41.711582,-87.60046,London Towne,IL,Cook County,0
218,403383,Chicago,41.718482,-87.597566,Cottage Grove Heights,IL,Cook County,0
219,403384,Chicago,41.701337,-87.564526,Trumbull Park,IL,Cook County,0
220,403385,Chicago,41.652941,-87.530157,Harbour Point Estates,IL,Cook County,0
221,403386,Chicago,41.69072,-87.590365,Lake Calumet,IL,Cook County,0
222,403387,Chicago,41.672231,-87.532414,Wolf Lake,IL,Cook County,0
223,403388,Chicago,41.695759,-87.544453,Calumet River,IL,Cook County,0
224,403389,Chicago,41.648898,-87.532163,Powder Horn Lake,IL,Cook County,0
225,403390,Chicago,41.652403,-87.576424,Little Calumet River,IL,Cook County,0
226,403560,Chicago,41.860963,-87.694489,Douglas Park,IL,Cook County,0
